157,Florida State,ACC,Alex Atkins,520000,0,520000,520000,0,5355750
158,Florida State,ACC,Chris Marve,520000,0,520000,520000,0,5355750
159,Florida State,ACC,Chris Thomsen,520000,0,520000,520000,0,5355750
160,Clemson,ACC,Danny Pearman,545000,27250,517750,519750,54500,7641500
161,Washington,Pac-12,Ikaika Malloe,525012,9188,515824,515824,16813,5059925
162,Texas A&M,SEC,T.J. Rushing,513461,0,513461,514961,0,7503197
163,Oklahoma,Big 12,Dennis Simmons,510000,0,510000,510000,0,6283333
164,Ohio State,Big Ten,Al Washington,515000,8583,506417,507017,8583,7859200
165,Texas,Big 12,Mark Hagen,550000,43021,506979,506979,73750,6329999
166,South Carolina,SEC,Tracy Rocker,525000,20213,504787,504787,40425,5095792
167,North Carolina,ACC,Tommy Thigpen,550000,45833,504167,504167,82500,4868415
168,Iowa,Big Ten,Seth Wallace,560000,56000,504000,504000,56000,4753600
169,Kentucky,SEC,Steven Clinkscale,500000,0,500000,501900,0,5781100
170,Kentucky,SEC,Darin Hinshaw,500000,0,500000,500900,0,5781100
171,UCLA,Pac-12,Brian Norwood,500000,0,500000,500000,0,4280800
172,Auburn,SEC,Larry Porter,500000,0,500000,500000,0,6760000
173,Mississippi State,SEC,Tony Hughes,500000,0,500000,500000,0,4300000
174,Auburn,SEC,Jack Bicknell Jr.,500000,0,500000,500000,0,6760000
175,Pittsburgh,ACC,Randy Bates,--,--,--,497282,--,--
176,Florida,SEC,Greg Knox,496500,0,496500,496500,0,6300000
177,Florida,SEC,Tim Brewster,496500,0,496500,496500,0,6300000
178,Texas A&M,SEC,Tommie Robinson,493270,0,493270,495770,0,7503197
179,Mississippi State,SEC,Mason Miller,495000,0,495000,495000,0,4300000
180,Illinois,Big Ten,Keynodo Hudson,500000,5625,494375,494375,33750,4001675
181,Clemson,ACC,Todd Bates,515000,25750,489250,491750,51500,7641500
182,Kentucky,SEC,John Schlarman,490000,0,490000,490000,0,5781100
183,Clemson,ACC,Mickey Conn,515000,25750,489250,489250,51500,7641500
